,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.9509,0.9548351343862566,0.9766189598979736,0.9656042031523643,0.9903440510216527
Random Forest,0.9924,0.9919661733615222,0.9973076378064333,0.9946297343131713,0.9997136563484246
Gradient Boosting,0.9997,0.999858276643991,0.9997165934533088,0.9997874300290512,0.9999237315715326
Ensemble (LR+RF+GB),0.9957,0.995478948855609,0.9984412639931982,0.9969579059073223,0.9998484261282732
Ensemble,0.9957,0.995478948855609,0.9984412639931982,0.9969579059073224,0.9998484261282732
QML (VQC),0.8448,0.8292070326515967,0.9824287941051438,0.8993384355947593,
